PID,Title,Creator,Abstract/Description,Date Issued,Identifier,Format
fsu:457825,Notes on operations: Using automation and batch processing to remediate duplicate series data in a shared bibliographic catalog.,"Dong, Elaine, Glerum, Margaret Anne, Fenichel, Ethan","The application of divergent local practices in a shared bibliographic database can result in unexpected display issues that adversely affect user experience. This is especially problematic when merging databases from multiple institutions accustomed to adopting local practices for their own constituents. The authors describe their experience with the application of automation tools, such as MarcEdit, Excel, and Python, during a large-scale remediation project. They used these tools to analyze, compare, and batch process bibliographic records to remediate obsolete and redundant series data in their shared bibliographic database.",7/14/17,"FSU_libsubv1_scholarship_submission_1500077579_786d99aa, 10.5860/lrts.61n3.143",Citation
fsu:376700,Office of Digital Research and Scholarship: 2015-2016 Year-End Report.,"Stanley, Sarah C.",,7/19/16,FSU_libsubv1_scholarship_submission_1468953771,Citation
fsu:330452,Open Access and Early-Career STEM Publishing.,"Soper, Devin","This presentation was given as part of the FSU Graduate School's ""Publish or Perish: Early Career Publishing in STEM"" workshop. The presentation covers topics related to open access (OA) publishing, authors' rights, and compliance with federal public access mandates. Other topics addressed during the workshop included the publishing process, choosing a journal or conference, etiquette of responding to editors, handling rejection with your self-esteem intact, revising, resubmitting, and more. For a list of current offerings in the Graduate School's Professional Development Workshop Series, see: http://gradschool.fsu.edu/Professional-Development/Professional-Development-Workshop-Series",6/15/16,FSU_dsoper_0001,Citation
fsu:207171,Open Access Week 2013 Final Report.,"Vandegrift, Micah, Bolick, Josh, Rose, Nina","International Open Access Week is an annual occasion for the international research and academic communities to learn about the benefits and opportunities of open access, the goal of which is to ""...inspire wider participation in helping to make Open Access a new norm in scholarship and research."" Open Access Week 2013 occurred in the last full week of October, the 21st through 27th. This was the sixth year that Open Access Week was celebrated, and the fourth year it was observed at Florida State University. This year's theme for Open Access Week was ""Redefining Impact."" As open access is generally heralded by librarians, events and initiatives around that topic are hosted by Florida State University Libraries. Following the lead of other universities that hosted Open Access Week events, the 2010 and 2011 programs included lectures, panels and discussions. While the programs were generally well-regarded and in line with current events and interesting topics, they were largely attended by open access advocates and librarians. As the goals of FSU's open access program became clearer, the decision was made that lectures and panels hosted in the library were not achieving the desired effect of raising campus-wide awareness about open access. The 2012 initiative for Open Access Week took the form of an information campaign, including eight posters, informational brochures, and staff time spent at an information table in the main floor of the library. While unable to measure effectiveness by numbers of attendees, it became apparent that the level of knowledge about open access is increasing as outreach takes new flavors.",2013,FSU_migr_library_faculty_publications-0009,Citation
fsu:205382,Opening Content to a Wider Audience: Academic Libraries and the Open Access Movement.,"Colvin, Gloria, Leonard, Michelle Foss, Benson, Dina, Nelson, Caitlin, Johnson, Margeaux",,2011,FSU_migr_scholar_com-0001,Citation
fsu:500819,Organizational Socialization Of Academic Librarians In The United States.,"Lee, Jongwook, Oh, Sanghee, Burnett, Gary","This study aims to investigate academic librarians' organizational socialization. Successful socialization can increase librarians' commitments to and retention in the libraries, which may enhance the quality of information services to library patrons. In addition to collecting demographic information, we measured the organizational socialization of 314 academic librarians using Chao, O'Leary-Kelly, Wolf, Klein, and Gardner's (1994) content framework. Study participants possessed high levels of socialization in their libraries overall. They were well socialized in Politics, followed by Performance Proficiency (task/skills), and Language; however, their socialization in Organizational goals/values, History, and People were relatively low, suggesting that there is room for improvement. Other key findings are: (1) male participants had lower levels of socialization in the People dimension than did females; (2) participants who were tenured had higher levels of socialization than did those who had not yet achieved tenure; (3) participants who had informal mentoring experiences had higher levels of socialization overall compared to those who had not received any mentoring; and (4) participants' socialization was associated negatively with the number of employees in their libraries and with the highest degree offered by their institutions. The study findings can be used to understand the learning and adjustment process of academic librarians in the United States, predict their retention and job satisfaction, and develop and improve library training or orientation programs. (C) 2016 Elsevier Inc. All rights reserved.",2016-07,"FSU_libsubv1_wos_000380580100009, 10.1016/j.acalib.2016.04.011",Citation
fsu:205359,Preparing Locally Encoded Electronic Finding Aid Inventories for Union Environments: A Publishing Model for Encoded Archival Description (EAD).,"Smith, Plato","This paper will briefly discuss encoded archival description (EAD) finding aids, the workflow and process involved in encoding finding aids using EAD metadata standard, our institution's current publishing model for EAD finding aids, current EAD metadata enhancement, and new developments in our publishing model for EAD finding aids at Florida State University Libraries. For brevity and within the scope of this paper, FSU Libraries will be referred to as FSU, electronic EAD finding and/ or archival finding aid will be referred as EAD or EADs, and locally encoded electronic EAD finding aids inventories will be referred to as EADs @ FSU.",2008,FSU_migr_digital_lib-0001,Citation
fsu:254542,Processing Archives in Special Collections.,"Altman, Burt",,2011,FSU_migr_sca-0009,Citation
fsu:207178,Reference Work in Special Collections: The Impact of Online Finding Aids at Florida State University Libraries.,"Altman, Burt, Prange, Cathmar",Online finding aids enhance reference service in libraries and complement printed guides. Reference service at our institution has changed through using an online finding aid along with a printed reference source. Librarians and archivists who use print with finding aids enrich users' research experiences.,2015,FSU_migr_library_faculty_publications-0017,Citation
fsu:207166,Relational Communications: Developing Key Connections.,"Vandegrift, Micah, Colvin, Gloria","Two years ago use of the terms ""scholarly communications"" and ""open access"" on the Florida State University (FSU) campus was limited primarily to library administrators and a few library and teaching faculty. But in a relatively short time we have dramatically increased awareness of these topics on our campus and accomplished many of our goals. Our focus has been on promoting authors' rights, the option to archive publications in open access repositories, and the evolution of scholarly publication in a digital environment, rather than a focus on the serials crisis facing libraries. Looking back over these past two years, the relationships that we developed along the way have been foundational to our success. Here, we discuss development of the FSU program and key steps we took, which we hope are instructive to others in developing a scholarly communications program.",2012,FSU_migr_library_faculty_publications-0003,Citation
fsu:207177,A Research and Class Model for Future Library Instruction in Higher Education.,"Kinsley, Kirsten, Hill, Leslie, Maier-Katkin, Daniel","<h5>Purpose</h5> â€“ The purpose of this article was to describe a university library instruction and research model that represents a collaborative effort between faculty, libraries, and the campus reading writing center. It uses rigorous research methods to measure whether the classroom intervention impacts student perceptions and success outcomes. Design/methodology/approach â€“ Longitudinal, mixed-methods approach that attempts to measure the outcome of an experimental class that uses precision (exact) matching to control for extraneous variables that impact student success and a survey to measure student perceptions. Findings â€“ Librarians can benefit by collaborating with faculty to learn more rigorous research methods. Precision (exact) matching a control group with an experimental group is time-intensive, but easily replicated. Preliminary results are very promising for both the precision matching and the survey data. It appears that students are able to learn critical thinking, research and writing skills from the collaboration between discipline-specific faculty, librarians and reading writing center tutors. Research limitations/implications â€“ Precision (exact) matching a control group with an experimental group is time-intensive. Thus, the results need to be viewed cautiously due to the small sample size. Practical implications â€“ Combining efforts to conduct collaborative research and instruction between libraries and faculty can provide resources for applications of the model with other disciplines. Originality/value â€“ The library-intensive freshman writing seminar is a unique approach to student learning and an easy way for the library to be actively integrated in other disciplines. The precision matching technique is a methodologically rigorous research design that easy to replicate in other locations and with other disciplines.",2014,"FSU_migr_library_faculty_publications-0016, 10.1108/NLW-05-2014-0057",Citation
fsu:254550,Research and Publishing As An Archivist: Publishing As a Co-Author.,"Altman, Burt","Research and Publishing As an Archivist: Publishing As A Co-Author is a case study documenting the presenter's experience as a co-author in writing for a professional publication as an archivist. He discusses the steps he and his co-author took in researching a successfully-published article about the usability of online finding aids and their efforts in publishing, initially, a hard-copy processing manual, and later an electronic book. The topics include why they felt the manual was needed, the collaboration between the authors, the reactions of the publication board to their proposal and initial chapters, the Board's recommendations which drove the project, and the rationale for the authors' final shift to a case study approach, which continues to this day.",2013,FSU_migr_sca-0017,Citation
fsu:265602,"Research, Preservation, and Repository Publication Relationships: Digital Curation, Diatoms, & DigiNole Commons.","Smith, Plato","Florida State University (FSU) Libraries Digital Library Center (DLC) in collaboration and partnership with FSU Biological Scientist, Dr. A.K.S.K. Prasad, has successfully preserved a small sample of his diatoms research in both Florida Center for Library Automation (FCLA) Florida Digital Archive(FDA) and MetaArchive since 2008 and 2009, respectively. The DCC Curation Lifecycle Model, introduced at the 3rd International Digital Curation conference in Washington, DC in December 2007, was the conceptual model used to guide some of the major stages in the preservation of faculty research data. The Inter-university Consortium for Political and Social Research (ICPSR) describes digital curation as encompassing both data curation and digital preservation and ""stems from the early days of the DCC [Digital Curation Centre]"" (McGovern, 2011) and the Joint Information Systems Committee (JISC) Digital Preservation briefing paper (Burnhill, 2006). Both The DCC Curation Lifecycle Model and ICPSR's digital curation definition provided the overarching framework for the workflow processes governing preservation of faculty research data using two different preservation strategies.",2011,FSU_migr_digital_lib-0009,Set of related objects
fsu:252672,Researching Long Island History During the CETA Program: How I Became an Archivist.,"Altman, Burt","Introduction by John A. Strong Professor Emeritus, Long Island University: About twenty years ago when I was working with Gaynell Stone on the Suffolk County Archaeological Association series on Long Island Indians she sent me to the Nassau County Parks facility at Sands Point to look at a collection of bibliographic cards that were stored there. Dan Kaplan, a park staff member, ushered me to a big empty library area, seated me at a long table, and brought me several long rectangular boxes filled with hundreds of three by five index cards with writing on both sides. I was amazed and overwhelmed. He told me that Burt Altman, a CETA intern, had prepared them back in the 1960s and left when the grant funds ran out. They were, Dan said, dumped here because no one knew what to do with them. For me, the boxes were a gold mine full of leads to obscure archives. I took extensive notes and made some Xerox copies. The short annotations on the backs of the bibliographic citations were extremely helpful. The cards were moved from the repository during a time when funds were being cut and some staff retired. Efforts to locate them are now being made by Herb Mills, former Nassau County Museum Director and Gary Haglich, former director of exhibits. Burt Altman's experience is a reaffirmation of Johnson's oft-maligned War on Poverty. As we approach the fiftieth anniversary of the program, scholars are re-evaluating Johnson's vision and his domestic policies. Johnson's historic attempt to reduce inequality was pushed into the background of the public awareness by his disastrous Vietnam policy. Altman's story reminds us that much good came from Johnson's more humane War on Poverty policy. Now that the concern about inequality has once again emerged, let us hope that we can advance the mission set in motion by Lyndon Johnson.",2015,FSU_migr_library_faculty_publications-0018,Citation
fsu:254541,Safeguarding Your Family Records: Planning Ahead before the Hurricane Season - Salvaging them if Disaster Hits.,"Altman, Burt",,2006,FSU_migr_sca-0007,Citation
fsu:205385,The Scholars Commons: Spaces and Services for Faculty and Graduate Students.,"Colvin, Gloria",,2010,FSU_migr_scholar_com-0005,Citation
fsu:254548,"Social History and Local Records: Historical Methods, Archival Theory, and the Library of Virginia.","Woodward, Eddie","Local records are the foundation on which social history is constructed. However, in an era when most historians categorize themselves as social historians, it is amazing to note how much these primary resources appear to be underutilized in scholarly works. This article attempts to understand why this is so by investigating how it is that historians seek resources and how archivists make them available. It then proposes possible solutions beneficial to both the institutions and the researchers alike on how to make the most of these often difficult to access records.",2008,"FSU_migr_sca-0015, 10.1080/15332740802235406",Citation
fsu:254537,"Society of Florida Archivists 2011 Annual Meeting: Stephen Graham papers, 1908-1975, MSS 76-10: A Hidden Collection.","Modrow, William, Yadon, Benjamin","This is a poster on the Stephen Graham papers, a collection housed in FSU Libraries Special Collections and Archives Division. Stephen Graham (1884-1975), an author who travelled on foot in many parts of the world, wrote more than fifty books, many a direct narrative and descriptive account of his experiences. His travel writing was published in The Times, Harper's, and The New Yorker. His regular column on Russia in The Times earned him the distinction of being the first writer with a byline in the history of the esteemed paper. The poster outlines the scope and contents of the collection, its relevancy to researchers working in various fields, and addresses the importance of preservation and increased visibility for the collection.",2011,FSU_migr_sca-0002,Citation
fsu:265566,"SPARC 2008 Digital Repositories: P 3 D - Publishing, Publicizing, & Preserving Diatomscapes.","Smith, Plato","P 3 D - Publishing, Publicizing, & Preserving Diatomscapes Faculty institutional repositories (IR) participation contribution is successful when ""What's in it for me?"" is effectively conveyed to faculty while emphasizing minimal faculty IR participation overhead & time investment. A Florida State University Biological Scientist was asked if he would be willing to allow the digital library to assist with the development of an online digital collection, print large posters of his research images for display in various campus buildings, hold a library exhibition to publicize his research and interface with students & library patrons, explore biological science metadata standards for his 6,000 images, attach technical specification metadata with online images & basic metadata, and work towards preserving his research data starting with his Diatomscapes collection as a prototype. Diatomscapes consists of a series of 18 diatoms and 1 Radiolarian microscopic organisms developed by Florida State University Biological Scientist, Dr. A.K.S.K. Prasad. Current digital initiatives efforts are underway to build an online digital collection, publicize the images via poster session exhibition in the library, publish Diatomscapes in an IR, preserve via Dark Archives in the Sunshine State (DAITSS) and/or LOCKSS via MetaArchive, and provide open access to the Diatomscapes digital collection. There are plans to build Diatomscapes digital collection in Picasa and Flickr and link from IR, OPAC & Facebook protected by a Creative Commons License contingent on faculty approval. This digital initiative has sparked interests in other FSU biological scientists which will influence future faculty IR participation contribution across disciplines.",2008,FSU_migr_digital_lib-0008,Citation
fsu:207174,Stories From the Stacks: Students Lost in the Labyrinth.,"Schoonover, Dan, Kinsley, Kirsten","Research shows that academic libraries can be difficult to navigate, and that students are often frustrated with not being able to find the right materials. This current study attempts to identify access barriers in FSU's Strozier Library by assessing the effectiveness of signs and directories, as well as wayfinding patterns of both undergraduate and graduate students. Two different assessments are implemented: a directory survey and a tally of the directional questions received at multiple help desks. Results show that the majority of students prefer to speak with a human being when attempting to locate something in the library; however, the directories are seen as helpful. The results have immediate implications on staffing practices and directory design. Future research is discussed as FSU continues to assess access and wayfinding, and the cognitive process of students as they navigate the library building.",2014,"FSU_migr_library_faculty_publications-0013, 10.1080/15367967.2014.914426",Citation
fsu:384663,Supporting Public Access Compliance at FSU.,"Vandegrift, Micah, Julian, Renaine, Soper, Devin","As public access policies from US federal agencies continue to come online, universities are considering how best to ensure compliance with these emerging new requirements. On some campuses, libraries are playing a central role in these compliance efforts, working with both faculty and administrators. On 2 November 2016, the Scholarly Publishing and Academic Resources Coalition (SPARC) hosted a members-only webcast to explore how libraries on two campuses are taking the lead in supporting compliance with these public access policies. This presentation provides an overview of efforts to support compliance at FSU, including the development and evolution of scholarly communication and research data management (RDM) services, targeted outreach strategies to promote these services to PIs, and the development of a suite of University policies to codify rights and responsibilities related to public access compliance.",11/2/16,FSU_libsubv1_scholarship_submission_1482355788,Citation
fsu:205363,"Tallahassee Civil Rights Oral History Collection, ""Enhancing Access to Historically-Significant Archival Collections: Linking EAD-Encoded Finding Aids to Audio Files.","Altman, Burt, McCann, Chuck, Smith, Plato","This poster session documents the steps taken by our institution to enhance access to and enrich the research value of an historically significant collection by linking digitized text and audio to an encoded archival description (EAD) finding aid at the 71st Annual Meeting of Society of American Archivist in Chicago from August 28 - September 2, 2007.",2007,FSU_migr_digital_lib-0011,Citation
fsu:254544,The Usability of On-line Archival Resources: The Polaris Project Finding Aid.,"Altman, Burt, Nemmers, John R.","This case study examines how the Florida State University Libraries' Claude Pepper Library planned the first phase of the Pepper OnLine Archival Retrieval and Information System (POLARIS) Projectâ€”the development of an on-line finding aid and search engineâ€”to provide electronic access to its unique resources. It also demonstrates how the project staff studied the research usability of the Pepper Collection finding aid in the on-line environment. The identification of potential users, creation of a focus group based on a sampling of these users, and the compilation and analysis of focus group responses were important factors in planning the first phase, evaluating usability of the finding aid, and influencing the changes that the POLARIS Project team made.",2001,FSU_migr_sca-0011,Citation
fsu:252674,Using Mobile Tools for Advocacy.,"Besara, Rachel","Libraries' focus on mobile devices as information portals (e.g., text reference and mobile Web sites) and productivity tools (e.g., calendars and documents) has caused them to overlook a more subtle opportunity. Smartphones and tablets are ideal for advocacy and organizational storytelling, which are increasingly important functions of libraries. This article discusses advocacy and four main categories of applications (more commonly known as apps) to support it: apps for photos and videos, personal databases, concept maps, and business intelligence. The objective of this article is to inspire others to experiment with these tools and apply them to their advocacy efforts.",2012,"FSU_migr_library_faculty_publications-0021, 10.1080/02763877.2012.678789",Citation
fsu:253667,Using Preservation of Faculty Research as Demo Preservation Use Case for Developing a Digital Preservation Strategy within a Research University.,"Smith, Plato","Florida State University (FSU) entered into a formal digital preservation strategy agreement with Florida Digital Archive (FDA) in 2009. However, prior to joining FDA, FSU requested permission from FDA to develop a plan to preserve a faculty member's research data. FDA agreed to allow the development of a FSU demo preservation of FSU Biological Scientist, Dr. A.K.S.K. Prasad, images of biological silica collection which was later presented in several national and international conference presentations.<br />This talk will include oral history and a presentation detailing the development of FSU utilizing locally developed preservation strategy of DAITSS, known as Dark Archive in the Sunshine State, starting with demo preservation of faculty research data which was later used to influence senior management to join FDA. The talk will include: Proof-of-concept to prototype preservation of FSU data via diatomscapes Intellectual merit and broader impact of preservation of faculty research via Boyer's Model of Scholarship Marketing DAITSS via conference presentations Reason FSU selected and joined FDA as a preservation strategy partner FSU collections currently being preserved via DAITSS FDA formal memorandum of understanding between FDA and FSU",2011,FSU_migr_digital_lib-0007,Set of related objects
fsu:254539,The Value of Being a Certified Archivist: A Personal Perspective.,"Altman, Burt",Society of Florida Archivists Annual Meeting 2007 conference presentation.,2007,FSU_migr_sca-0005,Citation
fsu:361534,Well Planned is Half Done: Planning Projects in the Digitization World.,"Thomas, Krystal M","Project management is what all archivists and librarians do on a daily basisâ€_we just donâ€™t always call it that and weâ€™re rarely taught it in school. Where a majority of the work happens when it comes to managing a digitization project is in the planning stages. What are you going to digitize? How are you going to digitize it? Who is going to do all the work? This presentation will look at how to define and plan out your project, exploring tools that will help in the scoping stages of a project as well as ways to continually evaluate your plan once a project gets up and running.",8/19/16,FSU_libsubv1_scholarship_submission_1472580228,Citation
fsu:384659,"What is an Institutional Repository?: Similarities, Differences, Examples.","Soper, Devin","An institutional repository (IR) can be defined as ""a set of services that a university offers to the members of its community for the management and dissemination of digital materials created by the institution and its community members"" (Lynch, 2003). This presentation provides an overview of the origins and principles of IRs, in addition to exploring common IR collections, policies, users, and service models. The presentation was delivered at the Florida Virtual Campus Institutional Repository Camp on July 25, 2016. More information available here: https://fliirt.wiki.flvc.org/wiki/index.php/IR_Camp",7/25/16,FSU_libsubv1_scholarship_submission_1482356832,Citation
fsu:350216,What Should a Data Repository Do?.,"Brown, Bryan, Soper, Devin","FSU's Institutional Repository, DigiNole, recently re-launched on an extensible Open Source software platform. One of DigiNole's anticipated growth areas is in handling research data, but what does that really mean? Is there a shared common definition of what a data repository should be? What kinds of functionality do data repositories typically have, and how does this functionality differ from institutional repositories? What features are most desired by researchers, and what features are necessary to ensure compliance with funding agency data management mandates? In this session, we will explore emerging answers to these questions, sharing what we have learned about the state of data repositories and how it has affected our plans to implement one at FSU.",7/22/16,FSU_libsubv1_scholarship_submission_1469633084,Citation
fsu:254538,Why Are All the Primary Sources in Special Collections?.,"Modrow, William","Everyday students are sent to a Special Collections because they need to find ""old"" materials or this is where ""all"" the primary sources are housed. When discussing their research needs, you discover they don't have any real clue what a primary source is, nor do they actually understand how to find primary sources, or how primary sources are different from secondary sources for their research. By combing methods of a hands on approach (finding, describing and the interpretation of a primary source), with search strategies for online primary source materials and identifying more sources using a ""lead"" research method â€“ using bibliographies and subject encyclopedias to identify more sources â€“ I guide individuals and classes through the rich array of research materials in our library and beyond and that primary sources are not just kept in a Special Collections, but where, what they are and how to use them.",2011,FSU_migr_sca-0004,Citation
fsu:254545,A Win - Win Situation: Finding Interns and Volunteers for Your Archives.,"Altman, Burt, Dunham, Liz, Iuliano, Ava",Society of Florida Archivists meeting presentation.,2010,FSU_migr_sca-0012,Citation
